,name,areaTotal,areaLand,areaWater,populationTotal,populationDensity,popPlaceByArea,elevation
0,"Gainesville,_Florida",161600000.0,158800000.0,2800000.0,130128,789.3,161.6,46.0248
1,"West_Lafayette,_Indiana",19760000.0,19735709.40076,25899.881103,29596,1499.6,19.76,187.0
2,Seattle,369073305.72288,217200000.0,151954602.433413,608660,3150.979716,369.07330572288,-1.0
3,"Cambridge,_Massachusetts",18466615.226696,16650000.0,1810000.0,109694,6586.786994,18.46661522669568,12.0
4,"New_Brunswick,_New_Jersey",14993441.170735,13537867.852726,1455573.318009,55181,4075.848826,14.993441170735103,18.8976
5,Philadelphia,366742316.423578,347300000.0,19400000.0,1567442,4492.4,366.7423164235776,11.8872
6,"Ann_Arbor,_Michigan",74330000.0,72079369.110651,2250000.0,113934,1580.663627,74.33,256.0
7,"Troy,_New_York",-1.0,-1.0,-1.0,50129,-1.0,-1.0,-1.0
8,"Durham,_North_Carolina",280400000.0,278100000.0,2400000.0,251893,905.8,280.4,123.0
9,"Madison,_Wisconsin",243536582.014894,198885186.992701,44650000.0,233209,1172.592255,243.53658201489407,226.0
10,"Worcester,_Massachusetts",99900000.0,97300000.0,2589988.110336,183016,1806.224508,99.9,146.0
11,Oxford,45590000.0,-1.0,-1.0,-1,3270.0,45.59,-1.0
12,"Stanford,_California",7189806.994293,7072000.0,116549.464965,13809,-1.0,7.189806994292736,28.956
13,Pittsburgh,150996306.832589,143744340.123648,7251966.708941,304391,2139.005958,150.9963068325888,-1.0
14,"Princeton,_New_Jersey",47559951.6701,46444000.0,1113694.887444,28572,-1.0,47.55995167009996,-1.0
15,"Ithaca,_New_York",15700000.0,14100000.0,1553992.866202,30014,2071.0,15.7,123.1392
16,"New_Haven,_Connecticut",52100000.0,48400000.0,3700000.0,130741,-1.0,52.1,17.9832
17,Boston,232140000.0,125407224.302469,106730000.0,667137,5344.039976,232.14,42.9768
18,"Westwood,_Los_Angeles",-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0
19,"Providence,_Rhode_Island",53353755.072922,47914780.041216,5438975.031706,178042,3736.001706,53.3537550729216,22.86
20,New_York_City,1214445424.93655,789428376.030413,425017048.906138,8550405,10831.130803,1214.4454249365504,10.0
